Teams,,Property,Value,Description
Echo,,Number of Courts,12,
Rise,,Number of Rounds Needed,30,
Doom,,Show Progressive Results,FALSE,
Fury,,,,
Force,,,,
Reign Bros,,,,
Havoc,,,,
Anarchy,,,,
Klutch Mode,,,,
TC Boosh,,,,
Aftershock,,,,
Goat,,,,
Arsenal,,,,
Riot,,,,
Outsiders,,,,
Tigers,,,,
Retro,,,,
Fortune,,,,
Brick Squad,,,,
Night Shift,,,,
Abyss,,,,
LS Syndicate,,,,
Kryptic,,,,
Zephyr,,,,
Blitz,,,,
ARKM,,,,
Roybots,,,,
Double Tap,,,,
Gamecocks,,,,
Alliance,,,,
Wildcards,,,,
Mt Olympus,,,,
Precision,,,,
Showtime,,,,
Space Cadets,,,,
Shade,,,,
Air Patrol,,,,
EXO,,,,
Voodoo,,,,
Category 5,,,,
Renegades,,,,
Rage,,,,
