Teams,,Property,Value,Description
Titan,,Number of Courts,14,
Anarchy,,Number of Rounds Needed,30,
Doom,,Show Progressive Results,FALSE,I recommend leaving this as false. It will show you everytime theres a new best schedule made in a gross format.
Task Force,,,,
Rise,,,,
Brick Squad,,,,
Team Awesome,,,,
TC Boosh,,,,
Dynasty,,,,
Fortune,,,,
Outsiders,,,,
Kraken,,,,
Goat,,,,
Wrecking Ballz,,,,
Outlaws,,,,
Havoc,,,,
Reign Bros,,,,
Mt Olympus,,,,
Arsenal,,,,
Aftershock,,,,
Riot,,,,
Rogue,,,,
Grit,,,,
ARKM,,,,
Corruption,,,,
Space Cadets,,,,
Tigers,,,,
Double Tap,,,,
Notorious,,,,
Showtime,,,,
Blitz,,,,
Klutch Mode,,,,
Gamecocks,,,,
Night Shift,,,,
Kaiju,,,,
Roybots,,,,
Voodoo,,,,
Final Justice,,,,
Legacy,,,,
Precision,,,,
Wildcards,,,,
Category 5,,,,
Kryptic,,,,
Rage,,,,
Sin City Chosen,,,,
